0.203851, 0.301700E-1, 28.5017, 0.865061E-1, 0.508100E+14, 0.138600E+33, 947.571, 110.643, 0.908638E-2, 0.433211E-2
0.248311, 0.367500E-1, 34.7394, 0.117463, 0.619300E+14, 0.188200E+33, 948.487, 114.938, 0.100528E-1, 0.496287E-2
0.410351, 0.611691E-1, 57.9007, 0.123536, 0.103220E+15, 0.197929E+33, 948.587, 0.00000, 0.00000, 0.262205E-3
0.412194, 0.614438E-1, 58.1612, 0.129608, 0.103684E+15, 0.207659E+33, 948.686, 0.00000, 0.00000, 0.233090E-1
0.414036, 0.617184E-1, 58.4218, 0.135681, 0.104149E+15, 0.217388E+33, 948.784, 0.00000, 0.00000, 0.233039E-1
0.415879, 0.619930E-1, 58.6823, 0.141754, 0.104613E+15, 0.227118E+33, 948.882, 0.00000, 0.00000, 0.233129E-1
0.417721, 0.622676E-1, 58.9429, 0.147826, 0.105078E+15, 0.236847E+33, 948.980, 0.00000, 0.00000, 0.233001E-1
0.419563, 0.625422E-1, 59.2035, 0.153899, 0.105542E+15, 0.246577E+33, 949.077, 0.00000, 0.00000, 0.233039E-1
0.421404, 0.628167E-1, 59.4640, 0.159972, 0.106007E+15, 0.256307E+33, 949.174, 0.00000, 0.00000, 0.233129E-1
0.423246, 0.630912E-1, 59.7246, 0.166044, 0.106471E+15, 0.266036E+33, 949.271, 0.00000, 0.00000, 0.233001E-1
0.425087, 0.633657E-1, 59.9851, 0.172117, 0.106936E+15, 0.275766E+33, 949.367, 0.00000, 0.00000, 0.233129E-1
0.426928, 0.636401E-1, 60.2457, 0.178190, 0.107400E+15, 0.285496E+33, 949.462, 0.00000, 0.00000, 0.233039E-1
0.428769, 0.639145E-1, 60.5063, 0.184262, 0.107865E+15, 0.295225E+33, 949.558, 0.00000, 0.00000, 0.233001E-1
0.430610, 0.641889E-1, 60.7668, 0.190335, 0.108329E+15, 0.304955E+33, 949.652, 0.00000, 0.00000, 0.233129E-1
0.432450, 0.644633E-1, 61.0274, 0.196408, 0.108794E+15, 0.314685E+33, 949.747, 0.00000, 0.00000, 0.233039E-1
0.434291, 0.647376E-1, 61.2879, 0.202481, 0.109258E+15, 0.324414E+33, 949.841, 0.00000, 0.00000, 0.233129E-1
0.436131, 0.650119E-1, 61.5485, 0.208553, 0.109723E+15, 0.334144E+33, 949.934, 0.00000, 0.00000, 0.233001E-1
0.437971, 0.652862E-1, 61.8091, 0.214626, 0.110187E+15, 0.343874E+33, 950.028, 0.00000, 0.00000, 0.233039E-1
0.439811, 0.655604E-1, 62.0696, 0.220699, 0.110652E+15, 0.353603E+33, 950.120, 0.00000, 0.00000, 0.233129E-1
0.441650, 0.658347E-1, 62.3302, 0.226771, 0.111116E+15, 0.363333E+33, 950.213, 0.00000, 0.00000, 0.233001E-1
0.443490, 0.661089E-1, 62.5907, 0.232844, 0.111581E+15, 0.373063E+33, 950.305, 0.00000, 0.00000, 0.233129E-1
0.445329, 0.663830E-1, 62.8513, 0.238917, 0.112045E+15, 0.382792E+33, 950.397, 0.00000, 0.00000, 0.233039E-1
0.447168, 0.666572E-1, 63.1119, 0.244989, 0.112510E+15, 0.392522E+33, 950.488, 0.00000, 0.00000, 0.233001E-1
0.449007, 0.669313E-1, 63.3724, 0.251062, 0.112974E+15, 0.402251E+33, 950.579, 0.00000, 0.00000, 0.233129E-1
0.450846, 0.672054E-1, 63.6330, 0.257135, 0.113439E+15, 0.411981E+33, 950.669, 0.00000, 0.00000, 0.233039E-1
0.452684, 0.674795E-1, 63.8935, 0.263207, 0.113903E+15, 0.421711E+33, 950.760, 0.00000, 0.00000, 0.233090E-1
0.454523, 0.677535E-1, 64.1541, 0.269280, 0.114368E+15, 0.431440E+33, 950.849, 0.00000, 0.00000, 0.233039E-1
0.456361, 0.680275E-1, 64.4147, 0.275353, 0.114832E+15, 0.441170E+33, 950.939, 0.00000, 0.00000, 0.233039E-1
0.458199, 0.683015E-1, 64.6752, 0.281425, 0.115297E+15, 0.450900E+33, 951.028, 0.00000, 0.00000, 0.233090E-1
0.460037, 0.685755E-1, 64.9358, 0.287498, 0.115761E+15, 0.460629E+33, 951.117, 0.00000, 0.00000, 0.233039E-1
0.461874, 0.688494E-1, 65.1963, 0.293571, 0.116226E+15, 0.470359E+33, 951.205, 0.00000, 0.00000, 0.233129E-1
0.463712, 0.691233E-1, 65.4569, 0.299643, 0.116690E+15, 0.480089E+33, 951.293, 0.00000, 0.00000, 0.233001E-1
0.465549, 0.693972E-1, 65.7175, 0.305716, 0.117154E+15, 0.489818E+33, 951.381, 0.00000, 0.00000, 0.233039E-1
0.467387, 0.696711E-1, 65.9780, 0.311789, 0.117619E+15, 0.499548E+33, 951.468, 0.00000, 0.00000, 0.233129E-1
0.469224, 0.699449E-1, 66.2386, 0.317861, 0.118083E+15, 0.509278E+33, 951.555, 0.00000, 0.00000, 0.233001E-1
0.471060, 0.702187E-1, 66.4991, 0.323934, 0.118548E+15, 0.519007E+33, 951.642, 0.00000, 0.00000, 0.233129E-1
0.472897, 0.704925E-1, 66.7597, 0.330007, 0.119012E+15, 0.528737E+33, 951.728, 0.00000, 0.00000, 0.233039E-1
0.474734, 0.707663E-1, 67.0202, 0.336079, 0.119477E+15, 0.538467E+33, 951.814, 0.00000, 0.00000, 0.233090E-1
